time,event,player1,player2,score,position
05:22,s,,,,4
05:23,ra,ra,ra,1,4
05:31,s,,,,4
05:32,pr,pr,a,1,4
05:47,s,,,,4
05:48,b,ra,ra,,4
05:56,s,,,,4
05:57,b,a,a,,4
06:06,s,,,,4
06:07,b,a,a,,4
06:40,s,,,,4
06:41,a,a,a,2,4
06:51,s,,,,4
06:52,a,a,a,1,4
07:08,s,,,,4
07:09,p,ap,pr,,4
07:10,r,r,a,,4
07:12,a,a,r,1,5
07:25,s,,,,4
07:29,pr,pr,a,1,1
08:08,s,,,,4
08:09,b,ra,ra,,4
08:30,s,,,,4
08:31,b,a,a,1,4
09:04,s,,,,4
09:05,a,a,a,2,4
09:16,s,,,,4
09:17,a,r,a,2,4
09:28,s,,,,4
09:29,a,a,r,1,4
09:51,s,,,,4
09:52,r,a,r,,4
09:53,a,r,a,2,4
10:11,s,,,,4
10:12,a,a,a,1,4
11:42,s,,,,4
11:43,r,a,r,,5
11:48,a,p,a,2,1
12:07,s,,,,4
12:08,a,p,a,2,4
12:22,s,,,,4
12:23,a,a,a,1,4
12:41,s,,,,4
12:43,a,a,ra,2,4
13:25,s,,,,4
13:26,a,a,r,1,4
13:37,s,,,,4
13:38,b,a,a,,4
13:47,s,,,,4
13:48,b,a,a,,4
13:59,s,,,,4
14:00,b,a,a,,4
14:10,s,,,,4
14:11,pr,pr,a,1,4
14:35,s,,,,4
14:36,a,a,a,2,4
14:47,s,,,,4
14:48,b,a,a,,4
15:35,s,,,,4
15:36,a,ra,a,2,3
15:27,s,,,,4
15:28,a,pr,a,2,4
16:46,s,,,,4
16:47,r,pr,ar,,3
16:51,ra,ra,a,1,1
17:41,s,,,,4
17:42,b,a,a,,4
18:13,s,,,,4
18:14,b,a,a,,4
18:22,s,,,,4
18:23,b,a,a,,4
18:35,s,,,,4
18:36,a,a,a,1,4
18:55,s,,,,4
18:56,pr,a,pr,2,4
19:14,s,,,,4
19:15,a,a,pr,1,4
19:51,s,,,,4
19:52,r,pr,ar,,4
19:57,ca,ca,a,1,3
